51.5702200368028,-0.1457754834161928,wp1_wlpark,7
51.5670702493142,-0.1463561591055551,wp2_cem,6
51.56128920460524,-0.1505841906997785,wp3_crossing,
51.55957923302921,-0.1524167225765827,wp4,
51.55866799580223,-0.1537825534539505,wp5,
51.55668576288285,-0.1591890109129934,wp6_hillB,3
51.55896616695449,-0.1615259572523065,wp7_hillT,3
51.55965263757095,-0.1657588511219721,wp8_pondwalk,
51.55727603882535,-0.1668670262212468,wp9_wedge,
51.56054916158932,-0.1717209646298379,wp10,
51.56183551841687,-0.1739314755993071,wp11_fishlake,8
51.561852773585,-0.178076188058689,wp12,
51.56212152932346,-0.1806461090461653,wp13_rabbitnoll,
51.56422466667662,-0.184434777907293,wp14_midland,7
51.56631414295274,-0.184917550389444,wp15,
51.5653511233367,-0.1809211272559708,wp16_crossing2,
51.56988060351967,-0.1795689001959855,wp17_road>,
51.57404503976062,-0.185082909229155,wp18,
51.57733113492675,-0.1871443089290326,wp19_stepsspire,11
51.57840227580714,-0.1842300158087562,wp20,
51.57432692856298,-0.1831072237093312,wp21,
51.57024138696855,-0.1780129853308576,wp22_road<,
51.56905609746129,-0.1748516010376988,wp23_spinn,5
51.56609962527252,-0.1755127951342228,wp24_radiotower,2
51.56663720100941,-0.1719830715178117,wp25,
51.57006636135192,-0.1697727247787617,wp26_henrymoore,11
51.57060595016149,-0.1618372431968174,wp27,
51.5688849162288,-0.1584207388497461,wp28_allotments,7
51.56601017712244,-0.1567445489724184,wp29_end,3
